VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
3924,HEAVEN HILL DISTILLERIES,6445,Dubonnet Bl,7.58,10.99,750.0,12.0,90.96,12.0,131.88,98.90999999999998,1.3300000000000003,14069.869999999995,40.92,31.028207461328485,1.0,1.449868073878628
3252,E & J GALLO WINERY,46145,Gallo Pnt Nr Pavia,3.79,5.49,750.0,24.0,90.96,10.0,54.900000000000006,43.92000000000001,1.11,61966.909999999996,-36.05999999999999,-65.6830601092896,0.4166666666666667,0.603562005277045
9165,ULTRA BEVERAGE COMPANY LLP,11939,Colimoro Montepul D'Abruzzo,7.58,10.99,750.0,12.0,90.96,12.0,131.88,10.99,1.35,68054.70000000003,40.92,31.028207461328485,1.0,1.449868073878628
10754,PERFECTA WINES,23750,Ch Clerc Milon 12 Pauillac,45.45,69.99,750.0,2.0,90.9,9.0,629.91,489.93,0.99,28720.52,539.01,85.56936705243606,4.5,6.929702970297029
2000,SOUTHERN WINE & SPIRITS NE,24175,Stella Moscato,9.08,13.99,750.0,10.0,90.8,10.0,139.9,13.99,1.12,19016.59,49.10000000000001,35.09649749821301,1.0,1.5407488986784141
90047,CRUSH WINES,11808,Arabella Shiraz,7.53,10.99,750.0,12.0,90.36,0.0,0.0,0.0,0.0,1457.7299999999998,-90.36,0.0,0.0,0.0
2000,SOUTHERN WINE & SPIRITS NE,26539,Regnard Macon Lugny Chard,15.06,21.99,750.0,6.0,90.36,6.0,131.94,21.99,0.68,19016.59,41.58,31.51432469304229,1.0,1.4601593625498008
4425,MARTIGNETTI COMPANIES,34215,Chimney Rock SLD Cab Svgn,45.15,69.99,750.0,2.0,90.3,2.0,139.98,69.99,0.22,144929.24,49.67999999999999,35.49078439777111,1.0,1.5501661129568105
653,STATE WINE & SPIRITS,41948,Tozai Nigori Voice Mist Sake,14.96,21.99,720.0,6.0,89.76,6.0,131.94,109.94999999999999,0.66,8014.98,42.17999999999999,31.969076853115048,1.0,1.4699197860962565
8320,SHAW ROSS INT L IMP LTD,12090,Lombardo Marsala Fine IP 421,7.48,10.99,750.0,12.0,89.76,7.0,76.92999999999999,54.95,0.78,3151.9200000000014,-12.830000000000013,-16.677499025087762,0.5833333333333334,0.8570632798573974
7153,PINE STATE TRADING CO,34193,Kangarilla McLaren Vl Shiraz,14.96,21.99,750.0,6.0,89.76,6.0,131.94,21.99,0.68,15884.819999999998,42.17999999999999,31.969076853115048,1.0,1.4699197860962565
